python,英 [paθn]美 [paθɑn],n. 巨蛇，大蟒;
marking,英 [mɑ:k]美 [mɑrk],n. 标记，记号; （支票的）认付; 斑纹; 批改，打分; v. 作记号; 在…留下痕迹; 给…打分
squash,,
networking,英 [netw:k]美 [netwrk],n. 网络化; [计]网络系统; 人际网;
encrypt,英 [nkrpt]美 [nkrpt],v. 加密，将…译成密码; vt.& vi. 把…加密（或编码），将…译成密码;
cafe,英 [kfe]美 [kfe],n. 咖啡馆，小餐厅;
dotted,英 [dtd]美 [dɑtd],adj. 有点的，星罗棋布的; v. 点缀(dot的过去式和过去分词); 布满; （口）打，击（某人
million,英 [mljn]美 [mljn],n. 百万; adj. 百万的; 无数的;
sketch,英 [sket]美 [skt],n. 素描; 草图; 梗概; v. 速写; 草拟; 简述;
january,英 [dnjuri]美 [dnjueri], 端日;
boost,英 [bu:st]美 [bust],vt. 增加; 促进，提高; 吹捧; 向上推起; vi. 宣扬; [美国俚语]（尤指在商店）行窃，偷
incremental,英 [kr'mentl]美 [kr'mentl],adj. 增加的;
introduce,英 [ntrdju:s]美 [dus],vt. 介绍; 引进; 提出; 作为…的开头;
whereas,英 [werz]美 [werz],conj. 然而; 鉴于; 反之; n. “鉴于…”：正式文件的介绍性陈述，开场白; 条件性陈述;
requirement,英 [rkwamnt]美 [rkwarmnt],n. 要求; 必要条件; 必需品，需要量; 资格;
gpl,英 [d'i:p'i:'el]美 [d'ip'i'el],abbr. grams per liter 克/升;
multiplicity,英 [mltplsti]美 [mltplsti],n. 多样性;
warranty,英 [wrnti]美 [wrnti],n. 保证，担保; [法]（商品等的）保单; 根据，理由; 授权，批准;
sec,英 [sek]美 [sk],n. 秒; adj. <法>干的; 略具甜味的; （香槟酒）含糖量为3-5%的; 淡的;
prefer,英 [prf:(r)]美 [prf],vt. 更喜欢; 提升，提拔; 给予（债权人）优先权; 提出（控告）; vi. 更喜欢，宁愿;
simulator,英 [smjulet(r)]美 [smjlet],n. 模拟装置，模拟器;
measure,英 [me(r)]美 [m],n. 措施; 测量，测度; 程度; 尺寸; vt. 测量; 估量; vi. 测量; 测量（大小，容量
ship,英 [p]美 [p],n. 船; <口>宇宙飞船; （舰船上的）全体船员; 运气; vt.& vi. 运送; vt. 把…
death,英 [deθ]美 [dθ],n. 死亡; 死神; （某种）死法，死亡方式; 病危;
salmon,英 [smn]美 [smn],n. 鲑鱼; 三文鱼; 大马哈鱼; 鲑鱼肉;
torch,英 [t:t]美 [trt],n. 手电筒; 火把，火炬; vt.& vi. 放火烧，纵火烧（建筑物或汽车）;
pagan,英 [pegn]美 [peɡn],n. 异教徒，非基督教徒; 没有宗教信仰的人; adj. 异教徒的; 非基督教的; 无宗教信仰的;
treat,英 [tri:t]美 [trit],n. 招待; 款待; 乐事; 乐趣; v. 治疗; 对待; 处理; 款待;
die,英 [da]美 [da],vt.& vi. 死亡，熄灭; 凋零，枯萎; 渴望，盼望; n. 钢型，硬模; 骰子;
elizabeth,英 ['lzbθ]美 ['lzbθ],n. 伊丽莎白;
injection,英 [ndekn]美 [ndkn],n. 注射; 注射剂; [医]充血; （卫星等的）入轨;
abort,英 [b:t]美 [brt],vt. 使流产; 使夭折; 使中止; vi. 流产; 堕胎; 发育不全; n. 流产; 中止计划;
staff,英 [stɑ:f]美 [stf],n. 参谋; 全体职员; 管理人员; 权杖; adj. 职员的; 行政工作的; 参谋的; 作为正式工
hunk,,
informative,英 [nf:mtv]美 [nfrmtv],adj. 提供信息的; 增长见闻的;
goat,英 [gt]美 [got],n. 山羊; 色鬼; 替罪羊;
school,英 [sku:l]美 [skul],n. 学校; 学院; 上学; 群; vt. 训练，锻炼; 教育，教导; 约束; 给…上学;
demonstration,英 [demnstren]美 [dmnstren],n. 示范; 证明; 游行示威; 表露;
measurement,英 [memnt]美 [mermnt],n. 量度; 份量，尺寸; 测量法; （量得的）尺寸;
chicken,英 [tkn]美 [tkn],n. 鸡; 鸡肉; 胆小鬼; 懦夫; adj. 胆怯的; 幼小的; 胆小的; vi. 以畏缩的方式去
ratio,英 [rei]美 [reio],n. 比例; 比，比率; 系数; vt. 求出比值，除，使…成比例; 将（相片）按比例放大[缩小];
ordinal,英 [:dnl]美 [rdnl],n. 序数; 比较; adj. 序数的;
consistent,英 [knsstnt]美 [knsstnt],adj. 一致的; 连续的; 不矛盾的; 坚持的;
saturation,英 [stren]美 [stren],n. 饱和度; （达到）饱和状态; 浸透，浸润; 饱和剂;
fid,英 [fd]美 [fd],n. （一）块， （一）堆; （支撑中桅的）方形木杠[铁杠]; （拼接、迭接用的）锥形木钉，木栓; 
allocate,英 [lket]美 [lket],vt. 分配，分派; 把…拨给;
unbiased,英 [nbast]美 [nbast],adj. 无偏见的，不偏不倚的，公正的; 持平; 无偏无党; 谠;
mickey,英 [mki]美 ['mk],n. 精神，骄气;
pong,英 [p]美 [pɑ],n. 恶臭，难闻的气味;
tor,英 [t:(r)]美 [tr],n. 石山，突岩; 毫巴;
regarding,英 [rgɑ:d]美 [rgɑrd],prep. 关于; 就…而论; 至于; v. regard的现在分词;
south,英 [saθ]美 [saθ],n. 南方; 南部; 美国南方各州; （南半球的）发展中国家; adj. 南的; （风）来自南方的;
vocab,英 ['vkb]美 ['vokb],abbr. vocabulary 词汇，词汇量;
likelihood,英 [laklihd]美 [laklihd],n. 可能，可能性; [数]似然，似真;
probabilistic,英 [prbblstk]美 [prɑbblstk],adj. 盖然论的，或然说的;
typescript,英 [tapskrpt]美 [tapskrpt],n. 以打字打的文件;
blaze,英 [blez]美 [blez],n. 火焰; 光辉; 爆发; 光彩; vi. 猛烈地燃烧; 发光，照耀; vt. 在树片上刻痕指示（
lee,英 [li:]美 [li],n. 避风处; 庇护所; adj. 背风的; 保护的; 庇荫的;
hey,英 [he]美 [he],int. （用以引起注意，表示惊异或询问）嘿，喂; 你好！（表示问候）; 咳; n. 干草（等于ha
near,英 [n(r)]美 [nr],adv. （空间）在近处; 在附近; （时间）临近; （程度）几乎; prep. （表示程度）接近;
permute,英 [p'mju:t]美 [p'mjut],v. 序列改变;
paginate,英 [pdnet]美 ['pdnet],vt. 标页数;
gray,英 [gre]美 [ɡre],n. 灰色; 灰马; 灰色颜料; 暗淡的光线; adj. 灰色的; 灰白头发的; 阴暗的; （指脸因
logo,英 [lg]美 [logo],n. （某公司或机构的）标识，标志，徽标; logotype 的缩略形式; [计算机] LOGO 教
restart,英 [ri:stɑ:t]美 [ristɑrt],v. 重新开始;
rotate,英 [rtet]美 [rotet],vt.& vi. （使某物）旋转; 使转动; 使轮流，轮换; 交替; adj. [植]辐状的; 有辐
subgroup,英 [sbgru:p]美 [sbɡrup],n. 小群，隶属的小组织，子群; vt. 给…加副标题;
compact,英 [kmpkt]美 [kɑmpkt],vt.& vi. 压紧，（使）坚实; 把…弄紧密，把…弄结实; 使（文体）简洁，简化; 变紧密，变结
tiger,英 [tag(r)]美 [taɡ],n. 老虎; 各种猫科动物; 凶恶的人，虎狼之徒;
palindrome,英 [plndrm]美 [plndrom],n. 回文（指顺读和倒读都一样的词语）;
gov,英 ['ɡv]美 ['ɡv],abbr. Governmental entities 政府部门;
blend,英 [blend]美 [blnd],vt. 混合; 把…掺在一起; （使）调和; 协调; vi. 掺杂; 结合; 相配，相称; n. 混
yielding,英 [ji:ld]美 [jild],adj. 柔软的; 易弯曲的; 顺从的; 服从的;
deco,英 [deku]美 [dko],n. 装饰，装饰品;
splitter,英 ['splt]美 ['splt],n. 分流器; 劈的人，分裂机;
teach,英 [ti:t]美 [tit],vt. 教; 教授; 教导，训练; vi. 教书;
quantile,英 ['kwntal]美 ['kwntal],n. 分位数; 分位点;
unification,英 [ju:nf'ken]美 [junf'ken],n. 统一，联合; 一致;
gloss,英 [gls]美 [gls],n. 光彩，光泽，光滑; 注释，注解; 假象; vt. 发光，给…加光泽; 注释，注解; 掩饰（错误
leaves,英 [li:vz]美 [livz],n. 叶子; 树叶，花瓣; (leaf的复数); 页( leaf的名词复数 ); 有…状叶的; 金属
player,英 [ple(r)]美 [ple],n. 播放机; 演员; [体]运动员; [音]演奏者;
defi,英 [d'fɑ]美 [d'fɑ],n. <口>挑战，违抗;
qr,英 [k'ju:'ɑ:r]美 [k'ju'ɑr],abbr. quarter 四分之一，一刻钟，季度;
mistune,英 [ms'tju:n]美 [ms'tun],vt. 使音调不准，使音调不和谐，使（音乐）走调;
hunter,英 [hnt(r)]美 [hnt],n. 猎人; 亨特; 猎犬; 猎狐马，猎食其他动物的野兽;
differentiate,英 [dfreniet]美 [dfrniet],vt.& vi. 区分，区别，辨别; vi. 区别对待; vt. 表明…间的差别，构成…间差别的特征
johnny,英 ['dn]美 ['dn],n. 男人，家伙，短袖无领病号服;
industry,英 [ndstri]美 [ndstri],n. 工业; 产业（经济词汇）; 工业界; 勤劳;
accomplish,英 [kmpl]美 [kɑmpl],vt. 完成; 达到（目的）; 走完（路程、距离等）; 使完美;
minimal,英 [mnml]美 [mnml],adj. 极小的; <正式>最小的，极少的; n. 最简单派艺术作品;
wallet,英 [wlt]美 [wɑlt],n. 钱包，皮夹子;
flashing,英 [fl]美 [fl],n. 闪光，防水板，遮雨板; v. 发出闪光( flash的现在分词 ); （使）闪现; 映出; 显
po,英 [po]美 [pu],n. <美口>便壶，夜壶;
ancestor,英 [nsest(r)]美 [nsst],n. 祖先，祖宗; 被继承人; 原型; （动物的）原种，先祖;
leak,英 [li:k]美 [lik],vi. 漏出; 透露; （指消息，秘密等）泄密; 漏电，漏水; vt. 使泄露; <非正式> 擅自公
declarative,"英 [dklrtv]美 [dklrtv, -klr-]",adj. 宣言的，公布的;
elephant,英 [elfnt]美 [lfnt],n. 象，大象;
ser,英 [s]美 [sr],n. 重量的单位，液量的单位;
simulate,英 [smjulet]美 [smjlet],vt. 模拟; 模仿; 假装，冒充; [生]拟态; adj. 模仿的; 假装的;
qty,英 [k'ta]美 [k'ta],abbr. quantity 量，数量，大量;
masking,英 ['mɑ:sk]美 ['mɑsk],n. 化装; v. 用面具遮住，掩盖，掩饰( mask的现在分词 );
hypergeometric,英 [hapd'metrk]美 [hapdr'metrk],n. 超几何分布; 超比;
multivariate,英 [mlt'vert]美 [mlt'vert],adj. 多变量的，多元的; 多变元;
dirty,英 [d:ti]美 [drti],adj. 肮脏的; 恶劣的; 卑劣的; 下流的; vt. 弄脏，污染; 使名声受玷污; vi. 变脏
marathon,英 [mrθn]美 [mrθɑn],n. <体>马拉松赛跑; 长距离比赛; 需要长时间努力或耐力的事件或活动; adj. 需要极大持久力
associate,英 [siet]美 [soiet],vt. 联想; （使）发生联系; （使）联合; 结交; vi. 联盟; 陪伴同事; n. 合伙人; 
alt,英 ['lt]美 ['lt],n.& adj. 高音（的）; n. = Accelerated Life Testing 加速寿命
rob,英 [rb]美 [rɑb],vt. 抢劫; 抢夺，掠夺; 非法剥夺; 使丧失; vi. 抢劫; 掠夺;
traffic,英 [trfk]美 [trfk],n. 交通，运输量; （非法的）交易; 通信量; 交际; vt. 用…作交换; 在…通行; vi. 
deliver,英 [dlv(r)]美 [dlv],vt. 交付; 发表; 递送; 使分娩; vi. 传送; 投递;
transparent,英 [trnsprnt]美 [trnsprnt],adj. 透明的; 清澈的; 易识破的; 显而易见的;
became,英 [bkem]美 [bkem],v. 变为，成为（ become的过去式 ）;
denote,英 [dnt]美 [dnot],vt. 代表; 指代; 预示; 意思是;
belong,英 [bl]美 [bl],vi. 属于; 是…的成员; 应被放在; 适应;
ran,英 [rn]美 [rn],v. 跑( run的过去式 ); 移动; （使）流动; （工作等）进行;
structural,英 [strktrl]美 [strktrl],adj. 结构（上）的，构架（上）的; 建筑的; 构造上的; 组织上的;
blinker,英 [blk(r)]美 [blk],n. 贬眼睛者; 瞥视者; 闪光警戒灯; （马戴的）眼罩;
forest,英 [frst]美 [frst],n. 森林; 丛林; （森林似的）一丛; 一片; vt. 在…造林，使长满树林，使成为森林;
paragraph,英 [prgrɑ:f]美 [prgrf],n. 段落; 分段符号; vt. 将…分段; 写短文报导;
organization,英 [:gnazen]美 [rgnzen],n. 组织; 机构; 团体; adj. 有组织的;
achieved,英 ['ti:vd]美 ['tivd],adj. 高度完美的; v. 实现; 获得; 取得( achieve的过去式和过去分词 ); 成功;
flip,英 [flp]美 [flp],vt. 轻弹，轻击; 按（开关）; 快速翻转; 急挥; vi. 发疯; 急动; 捻; 蹦蹦跳跳; n
knapsack,,
primitive,英 [prmtv]美 [prmtv],adj. 原始的; 发展水平低的; 落后的; [生物学]原生的; n. 原始人; 早期的艺术家（作品
told,英 [tld]美 [told],v. 讲; 讲述; 表明( tell的过去式和过去分词 ); 知道;
spent,英 [spent]美 [spnt],adj. 用过的; 不再有用的; 已废的; 失效的; v. 花费; 用钱，花钱( spend的过去式
introspection,英 [ntrspekn]美 [ntrspkn],n. 自我反省; 反省，内省;
alphabet,"英 [lfbet]美 [lfbt, -bt]",n. 字母表; 字母系统; 入门，初步;
universe,英 [ju:nv:s]美 [junvrs],n. 宇宙; 天地万物;  经验领域;
colour,英 [kl(r)]美 [kl],n. 颜色; 彩色; 肤色; （用于服装、旗帜等代表团队、学校、政党或国家的）色彩; vt. （用颜
planet,英 [plnt]美 [plnt],n. [天]行星; [占星]（左右人命运的）星相;
encoder,英 [n'kd]美 [n'kod],n. 译码器，编码器; 构码器;
shelf,英 [elf]美 [lf],n. 架子，搁板; 棚; 沙洲，暗礁; 格，层;
thinking,英 [θk]美 [θk],n. 思考; 想法，思想; 意见; 见解; adj. 有思想的; 有理性的; v. “think”的
fabric,英 [fbrk]美 [fbrk],n. 织物; 布; 构造; （建筑物的）结构（如墙、地面、屋顶）：质地;
dammit,英 ['dmt]美 [dmt],int. 该死，真他妈的;
grouper,英 ['gru:p]美 ['grup],n. 鲶科鱼;
thumbnail,英 [θmnel]美 [θmnel],n. 拇指甲，极小的东西; adj. 极小的，极短的;
legacy,英 [legsi]美 [lɡsi],n. 遗产; 遗赠;
estimator,英 ['estmet]美 ['estmet],n. 评价者，评估特有者; 估测者;
geometric,英 [di:metrk]美 [dimtrk],adj. 几何学的; 成几何级数增减的; 几何装饰的;
constraint,英 [knstrent]美 [knstrent],n. 约束; 限制; 强制;
taxis,英 ['tkss]美 ['tkss],n. 整复法，排序; 出租汽车( taxi的名词复数 );
hacking,英 ['hk]美 ['hk],n. （在窑内或窑车上）码砖，堆高砌坯; v. 劈，砍( hack的现在分词 ); 狠踢，乱踢; 能
bring,英 [br]美 [br],vt. 导致; 带来，引来; 促使，引起; 提供;
mr,英 ['mst(r)]美 ['mstr],abbr. magnetic resonance blood-flow scanning 磁共振血流
graham,英 ['grem]美 ['grem],n. 格雷厄姆（男子名）
weapon,英 [wepn]美 [wpn],n. 武器，兵器; vi. 武装，提供武器;
decomposition,英 [di:kmp'zn]美 [dikɑmpzn],n. 分解; 腐烂;
eastern,英 [i:stn]美 [istrn],adj. 东方的，东部（地方）的; 朝东的; 来自东方的; n. 东方人; （美国）东部地区的人; 
descent,英 [dsent]美 [dsnt],n. 下降; 血统; 倾斜;
substitution,"英 [sbst'tju:n]美 [sbsttun, -tju-]",n. 替换; 代替; 代用; <化>取代（作用）;
pyretic,英 [pa'retk]美 [pa'retk],adj. 发烧的，热病的，引起发烧的;
mezzanine,英 [mezni:n]美 [meznin],n. （尤指介于一层与二层之间的）中层楼，（戏院中的）包厢;
pulsar,英 [plsɑ:(r)]美 [plsɑr],n. 脉冲星; （快速）脉冲射电源;
toward,"英 [t'w:d]美 [trd, tord, twrd]",prep. 向; 对于; 为了; 接近; adj. 即将来到的; 进行中的;
rounding,英 [rand]美 ['rand],n. 制圆，舍入，凑整; adj. 圆的，环绕的，凑整的;
gauss,英 [gas]美 [gas],n. 高斯（磁感应或磁场的单位）;
titled,英 [tatld]美 [tatld],adj. 有头衔的; 有爵位的; 有称号的; 有标题的; v. 加标题于; 授予…称号(title的
scenarios,英 [s'nɑ:ri:z]美 [s'nɑrioz],n. [意]情节; 剧本; 事态; 脚本;
alert,英 [l:t]美 [lrt],adj. 警觉的，警惕的，注意的; 思维敏捷的; 活泼的; n. 警报; 警戒状态; vt. 向…报
ascending,英 ['send]美 [snd],adj. 上升的，向上的; v. 上升，攀登( ascend的现在分词 );
fiction,英 [fkn]美 [fkn],n. 小说，虚构的文学作品; 虚构的或想像出的事，并非完全真实的事; 编造，虚构;
curr,英 [k:]美 [k],vi. （鸽子、猫等）咕咕叫，发咕咕声;
buzz,英 [bz]美 [bz],vi. 嗡嗡叫; 低声谈; 散布：嗡嗡叫，发哼声; 匆忙来去，奔忙; vt. 使嗡嗡叫; 咕哝：用快
greedy,,
flush,英 [fl]美 [fl],vi. 冲刷; 脸红; 呈红色; 奔流; adj. 满面红光的; 富足的，丰富的; 盈满的，没过的;
za,英 [zɑ:]美 [zɑ],abbr. South Africa 南非;
boilerplate,英 [blplet]美 [blrplet],n. 样板文件; 公式化，陈词滥调;
mutability,英 [mju:t'blt]美 [mjut'blt],n. 易变性，性情不定; 突变性; 易弯性;
consumed,英 [kn'sju:md]美 [kn'sumd],v. 消耗( consume的过去式和过去分词 ); 烧毁; 大吃; 使充满（强烈的感情）;
buffalo,英 [bfl]美 [bflo],n. 水牛（分非洲水牛和亚洲水牛两种）; （南非或北美的）野牛; 威胁; 恐吓; vt. 威胁; 欺
laboratory,英 [lbrtri]美 [lbrtri],n. 实验室; 实验课; 研究室; 药厂;
confusing,英 [knfju:z]美 [knfjuz],adj. 混乱的; 混淆的; 令人困惑的; v. 使困窘，使混乱不清(confuse的现在分词);
prettify,英 [prtifa]美 [prtfa],v. 修饰;
jar,英 [dɑ:(r)]美 [dɑr],n. 罐子; 缸; （啤酒）杯; 猛然震动; vi. 发出刺耳的声音; 不和谐; 不一致; （对…）
perceptual,英 [pseptul]美 [prseptul],adj. 感性; 知觉的，有知觉的;
multinomial,英 [mlt'nml]美 [mlt'nomrl],adj. 多项的; n. 多项式;
kaiser,英 [kaz(r)]美 [kaz],n. 皇帝;
shall,英 [l]美 [l],v. 必须; 应该; 可以; 将要;
migrator,英 [ma'gret]美 ['magret],adj. 迁移的; 有迁居习惯（或特色）的; 流浪的; <医>游走性的;
deferred,英 [d'f:d]美 [d'fd],adj. 延期的，缓召的; v. 拖延，延缓，推迟( defer的过去式和过去分词 ); 服从某人的
surfing,英 [s:f]美 [srf],n. 冲浪运动; v. 冲浪（surf的ing形式）;
adjective,英 [dktv]美 [dktv],n. 形容词; adj. 形容词的; 附属的，不独立的; [法]有关程序的;
interpretation,英 [nt:prten]美 [ntrprten],n. 理解; 解释，说明; 翻译; 表演，演绎;
inaugural,英 [n:gjrl]美 [nɡjrl],adj. 就职的，就任的; 创始的，最早的; n. 就职演说; 就职典礼;
stem,英 [stem]美 [stm],n. （花草的）茎; 词干; （高脚酒杯的）脚; 烟斗柄; vt. 阻止; 遏制[阻止]（液体的流动
retrieval,英 [rtri:vl]美 [rtrivl],n. 检索; 收回，挽回;
drill,英 [drl]美 [drl],n. 钻头; 操练; 军事训练; （应对紧急情况的）演习; vt.& vi. 训练; 操练; 钻（孔
armory,英 ['ɑ:mr]美 [ɑrmri],n. 军械库; 兵工厂; 纹章; 纹章学;
west,英 [west]美 [wst],n. 西，西部，西方; adj. 西部的; 在西方的; 朝西的; （风）来自西面的; adv. 向西
toolbar,英 [tu:lbɑ:(r)]美 ['tulbɑr],n. （计算机） 工具栏; 刀杆，镗杆;
fingerprint,英 [fgprnt]美 [fgrprnt],n. 指纹，指印; vt. 采指纹;
react,英 [rikt]美 [rikt],vi. 反应，作出反应; 影响; 起反作用; vt. 使发生相互作用; 使起化学反应; 反抗; 再演
marshmallow,英 [mɑ:ml]美 [mɑrmelo],n. 棉花软糖; 蜀葵糖浆;
cleaner,英 [kli:n(r)]美 [klin],n. 吸尘器; 清洁剂; 保洁员; 干洗店; adj. 更清洁的(clean的比较级); 整齐的; 
charles,英 [tɑ:lz]美 [tɑrlz],n. 查尔斯（男子名，涵义：强壮的，男性的，高贵心灵的）;
readme,英 ['ri:dmi:]美 ['ridmi],n. 自述文件;
took,英 [tk]美 [tk],v. 拿( take的过去式 ); 接受; 学习; 取得;
race,英 [res]美 [res],n. 赛跑; 民族; 人种; 竞争; v. 参加比赛; 使比赛; 快速移动; 剧烈跳动;
